"name","SemanticID","url","category"
"N. Guzina","20946779","https://www.semanticscholar.org/author/20946779",NULL
"E. Hadžalić","14131202","https://www.semanticscholar.org/author/14131202","Engineering"
"A. Hadžiahmetović","119852642","https://www.semanticscholar.org/author/119852642","Economics"
"Muamera Smajić","100914370","https://www.semanticscholar.org/author/100914370","History"
"Azra Smajić Gačević","2134819076","https://www.semanticscholar.org/author/2134819076","Computer Science"
"Anja Mastilović","101368329","https://www.semanticscholar.org/author/101368329","Environmental Science"
"Nejra Hadžiahmetović","121551764","https://www.semanticscholar.org/author/121551764","Economics"
"L. Hadžić","115520494","https://www.semanticscholar.org/author/115520494","History"
"Suncica Hadzidedic","38984232","https://www.semanticscholar.org/author/38984232","Computer Science"
"Alma Hajrić - Čaušević","2196030987","https://www.semanticscholar.org/author/2196030987","Political Science"
"Nerma Halilović-Kibrić","1506410528","https://www.semanticscholar.org/author/1506410528","Political Science"
"S. Hanjalic","1835909","https://www.semanticscholar.org/author/1835909","Engineering"
"Elma Hašimbegović","121236555","https://www.semanticscholar.org/author/121236555","Art"
"Lara Hedžić","120210192","https://www.semanticscholar.org/author/120210192","Linguistics"
"Larisa Kasumagić-Kafedžić","1454623453","https://www.semanticscholar.org/author/1454623453","Education"
"Meliha Hrustić","82391792","https://www.semanticscholar.org/author/82391792","Medicine"
"Alma Huremović","2223856147","https://www.semanticscholar.org/author/2223856147","Medicine"
"Dijana Husaković","1573606170","https://www.semanticscholar.org/author/1573606170","Business"
"Sabira Husedžinović","107964715","https://www.semanticscholar.org/author/107964715","History"
"Alena Huseinbegović","133607374","https://www.semanticscholar.org/author/133607374","Physics"
"A. Ibrahimspahić","91659429","https://www.semanticscholar.org/author/91659429","Environmental Science"
"Adisa Imamović","115112488","https://www.semanticscholar.org/author/115112488","Linguistics"
"Lejla Junuzović-Žunić","1402702091","https://www.semanticscholar.org/author/1402702091","Psychology"
"Admir Avdagić","8088919","https://www.semanticscholar.org/author/8088919","Environmental Science"
"Anela Mulahmetović Ibrišimović","118963391","https://www.semanticscholar.org/author/118963391","Business"
"Adla Isanović","113492502","https://www.semanticscholar.org/author/113492502","Political Science"
"Renata Ivelja","1395136454","https://www.semanticscholar.org/author/1395136454","Physics"
"H. Jahić","123521278","https://www.semanticscholar.org/author/123521278","Economics"
"A. Kadić","37612031","https://www.semanticscholar.org/author/37612031","Medicine"
"Hanifa Kapidžić-Osmanagić","1489437565","https://www.semanticscholar.org/author/1489437565","Sociology"
"Zenaida Karavdić","70083342","https://www.semanticscholar.org/author/70083342","Linguistics"
"Seniha Karić","117061682","https://www.semanticscholar.org/author/117061682","Physics"
"Edina Kečo","2203093428","https://www.semanticscholar.org/author/2203093428","Linguistics"
"Emina Kečo Isaković","2144970278","https://www.semanticscholar.org/author/2144970278","Sociology"
"Lejla Kreševljaković","2103254764","https://www.semanticscholar.org/author/2103254764","Sociology"
"Aida Kršo","104133808","https://www.semanticscholar.org/author/104133808","Physics"
"Fatka Kulenović","2083663768","https://www.semanticscholar.org/author/2083663768","Physics"
"Meliha Pozderac-Memija","1418538593","https://www.semanticscholar.org/author/1418538593","Medicine"
"Emina Kuloglija","2187638267","https://www.semanticscholar.org/author/2187638267","Computer Science"
"Gina Landor","96133064","https://www.semanticscholar.org/author/96133064","Art"
"A. Lasić","5059182","https://www.semanticscholar.org/author/5059182","Environmental Science"
"A. Livnjak","2203362067","https://www.semanticscholar.org/author/2203362067","Environmental Science"
"sumeja ljevaković-subašić","1506459937","https://www.semanticscholar.org/author/1506459937","Political Science"
"Ćamila Ljubović","2150823416","https://www.semanticscholar.org/author/2150823416",NULL
"M. Malić","8851420","https://www.semanticscholar.org/author/8851420","Medicine"
"A. Manko","2035577063","https://www.semanticscholar.org/author/2035577063","Sociology"
"Sunčica Mašić","101452268","https://www.semanticscholar.org/author/101452268","Engineering"
"Velida Mataradžija","122096946","https://www.semanticscholar.org/author/122096946","Linguistics"
"Emira Mešanović-Meša","1581885606","https://www.semanticscholar.org/author/1581885606","Linguistics"
"Arijana Midžić","2101065431","https://www.semanticscholar.org/author/2101065431","Education"
"T. Mihač","92786216","https://www.semanticscholar.org/author/92786216","Materials Science"
"Amina Mihmić","2142909179","https://www.semanticscholar.org/author/2142909179","Physics"
"Senija Milišić","2138291923","https://www.semanticscholar.org/author/2138291923","Political Science"
"Katarina Mišetić","2168356107","https://www.semanticscholar.org/author/2168356107","Medicine"
"Mia Mrgud","119047412","https://www.semanticscholar.org/author/119047412","Business"
"N. Orić","120806235","https://www.semanticscholar.org/author/120806235","Political Science"
"A. Mujagić-Pašić","1403765236","https://www.semanticscholar.org/author/1403765236","Agricultural and Food Sciences"
"A. Muratovic-Ribic","1415044084","https://www.semanticscholar.org/author/1415044084","Mathematics"
"Mirjana Nadaždin Defterdarević","107940303","https://www.semanticscholar.org/author/107940303","Geography"
"Svjetlana Nedimović","116200105","https://www.semanticscholar.org/author/116200105","Political Science"
"Sanela Nesimović","1626096819","https://www.semanticscholar.org/author/1626096819","Mathematics"
"Anja Orozović","2148860652","https://www.semanticscholar.org/author/2148860652","Art"
"Edisa Papraćanin","2128089674","https://www.semanticscholar.org/author/2128089674","Environmental Science"
"J. Pasic","1897101","https://www.semanticscholar.org/author/1897101","Physics"
"Alma Pehlivanović","2188071316","https://www.semanticscholar.org/author/2188071316","Education"
"Nerma Pezerović-Riđić","1486340079","https://www.semanticscholar.org/author/1486340079","Business"
"Vildana Pleh","2146772574","https://www.semanticscholar.org/author/2146772574",NULL
"S. Pobric","11892684","https://www.semanticscholar.org/author/11892684","Medicine"
"Nasiha Pozder","113633252","https://www.semanticscholar.org/author/113633252","Environmental Science"
"Irena Praskač-Salčin","1505205898","https://www.semanticscholar.org/author/1505205898","Sociology"
"Linda Prugo-Babić","1486181444","https://www.semanticscholar.org/author/1486181444","Sociology"
"Dijana Rađo","2129606708","https://www.semanticscholar.org/author/2129606708","Business"
"Ramiza Smajić","115795416","https://www.semanticscholar.org/author/115795416","History"
"M. Raič","2092160927","https://www.semanticscholar.org/author/2092160927","Engineering"
"V. Raspudić","72078232","https://www.semanticscholar.org/author/72078232","Engineering"
"Narcisa Rastoder","69938065","https://www.semanticscholar.org/author/69938065","Business"
"Valida Repovac Nikšić","118439898","https://www.semanticscholar.org/author/118439898","Political Science"
"Elmira Resić","146651167","https://www.semanticscholar.org/author/146651167",NULL
"Mirsada Rizvanović","115697000","https://www.semanticscholar.org/author/115697000","Materials Science"
"Edina Rizvić-Eminović","1476920560","https://www.semanticscholar.org/author/1476920560","Linguistics"
"A. Bujak","2071660923","https://www.semanticscholar.org/author/2071660923","Biology"
"Đelaludina Šukalić","2139405912","https://www.semanticscholar.org/author/2139405912","Linguistics"
"Dina Sijamhodžić-Nadarević","2141014479","https://www.semanticscholar.org/author/2141014479","Education"
"G. Sijarić","16011954","https://www.semanticscholar.org/author/16011954","Chemistry"
"I. Silajdžić","94351916","https://www.semanticscholar.org/author/94351916","Environmental Science"
"Lamija Silajdžić","120062299","https://www.semanticscholar.org/author/120062299","Sociology"
"Ivan Sivrič","115207648","https://www.semanticscholar.org/author/115207648","Political Science"
"Smajić Senada","119178885","https://www.semanticscholar.org/author/119178885","Economics"
"Amina Smajović","2006046849","https://www.semanticscholar.org/author/2006046849","Education"
"A. Softić","93424904","https://www.semanticscholar.org/author/93424904","Engineering"
"M. Suljkanović","95783945","https://www.semanticscholar.org/author/95783945","Chemistry"
"Alija Selmanović","94130007","https://www.semanticscholar.org/author/94130007","Physics"
"Dijana Ćavar","133820132","https://www.semanticscholar.org/author/133820132","Business"
"Jamila Jaganjac","123950044","https://www.semanticscholar.org/author/123950044","Business"
"Sanja Stanimirović-Mujanović","1420936740","https://www.semanticscholar.org/author/1420936740","Medicine"
"Mersida Sućeska","107576701","https://www.semanticscholar.org/author/107576701","Physics"
"Misera Suljić-Sijarić","2016740951","https://www.semanticscholar.org/author/2016740951",NULL
"Irfan Šljivo","3063841","https://www.semanticscholar.org/author/3063841","Computer Science"
"Marija Čutura","102733569","https://www.semanticscholar.org/author/102733569","Business"
"Dzenan Lapandic","30621277","https://www.semanticscholar.org/author/30621277","Computer Science"
"Nahla Osmanbegovic","1411757920","https://www.semanticscholar.org/author/1411757920","Chemistry"
"A. Vila","145713755","https://www.semanticscholar.org/author/145713755","Engineering"
"Haris Smajlovic","104337448","https://www.semanticscholar.org/author/104337448","Computer Science"
"Aida Glavinic","2201262497","https://www.semanticscholar.org/author/2201262497","Medicine"
"Selver Pepic","2123319594","https://www.semanticscholar.org/author/2123319594","Biology"
"A. Mehonic","5443896","https://www.semanticscholar.org/author/5443896","Engineering"
"Bahrudin Trbalic","2184594605","https://www.semanticscholar.org/author/2184594605","Physics"
"Haris Balta","40582664","https://www.semanticscholar.org/author/40582664","Engineering"
"Ibrahim Numanagić","2104956","https://www.semanticscholar.org/author/2104956","Computer Science"
"Eldar Kurtic","40992614","https://www.semanticscholar.org/author/40992614","Computer Science"
"Zlatan Ajanović","30462377","https://www.semanticscholar.org/author/30462377","Computer Science"
"A. Greljo","13880660","https://www.semanticscholar.org/author/13880660","Physics"
"Nudžeim Selimović","147708333","https://www.semanticscholar.org/author/147708333","Physics"
"T. Suljic","2230840377","https://www.semanticscholar.org/author/2230840377","Medicine"
"Kenan Šehić","1380989402","https://www.semanticscholar.org/author/1380989402","Engineering"
"Amina Becic","19292987","https://www.semanticscholar.org/author/19292987","Medicine"
"A. Brankovic","146028994","https://www.semanticscholar.org/author/146028994","Medicine"
"Selma Vejzagić","1658780969","https://www.semanticscholar.org/author/1658780969","Biology"
"Selma Imamovic Kadric","2091434568","https://www.semanticscholar.org/author/2091434568","Medicine"
"A. Trakic","2326674","https://www.semanticscholar.org/author/2326674","Engineering"
"Arman Korajac","1391801324","https://www.semanticscholar.org/author/1391801324","Physics"
"Amar Halilovic","2105947919","https://www.semanticscholar.org/author/2105947919","Computer Science"
